Fold,Accuracy,MCC,Sensitivity,Specificity,AUC_ROC,Precision,F1,AUC_PR
1,0.7897196261682243,0.40018505131298293,0.5306122448979592,0.8666666666666667,0.8119975262832405,0.5416666666666666,0.5360824742268041,0.550133032404831
2,0.7476635514018691,0.3056833723642028,0.4897959183673469,0.8242424242424242,0.7589363017934447,0.4528301886792453,0.47058823529411764,0.4007139872956134
3,0.8028169014084507,0.42691802466865614,0.5416666666666666,0.8787878787878788,0.8515151515151514,0.5652173913043478,0.5531914893617021,0.5905643601904247
4,0.784037558685446,0.34485392773842066,0.4375,0.8848484848484849,0.8251262626262627,0.525,0.4772727272727273,0.5320497918503015
5,0.7417840375586855,0.30706067536719345,0.5102040816326531,0.8109756097560976,0.7521154803384769,0.44642857142857145,0.47619047619047616,0.44938500855781977
